intended_ms,actual_ms,type,label
1000,1013,IMAGE_ONSET,Mu04.png
1500,1514,IMAGE_OFFSET,Mu04.png
2000,2011,IMAGE_ONSET,face01.png
2500,2526,IMAGE_OFFSET,face01.png
3000,3012,TEXT_ONSET,Hello !
3500,3526,TEXT_OFFSET,Hello !
4000,4011,IMAGE_ONSET,body03.png
4500,4527,IMAGE_OFFSET,body03.png
5000,4996,SOUND_ONSET,sound02.wav
6000,6014,IMAGE_ONSET,house03.png
6500,6527,IMAGE_OFFSET,house03.png
7000,7012,IMAGE_ONSET,face12.png
7500,7538,IMAGE_OFFSET,face12.png
8000,8019,IMAGE_ONSET,Mu01.png
8500,8526,IMAGE_OFFSET,Mu01.png
9000,9011,IMAGE_ONSET,Mu03.png
9500,9526,IMAGE_OFFSET,Mu03.png
10000,10012,IMAGE_ONSET,geo06.png
10500,10526,IMAGE_OFFSET,geo06.png
11000,11012,IMAGE_ONSET,wordC03.png
11500,11526,IMAGE_OFFSET,wordC03.png
12000,12011,IMAGE_ONSET,body04.png
12500,12513,IMAGE_OFFSET,body04.png
13000,13014,IMAGE_ONSET,wordC02.png
13500,13528,IMAGE_OFFSET,wordC02.png
14000,14014,IMAGE_ONSET,geo02.png
14500,14526,IMAGE_OFFSET,geo02.png
15000,15013,IMAGE_ONSET,geo04.png
15500,15527,IMAGE_OFFSET,geo04.png
16000,16012,IMAGE_ONSET,number01.png
16500,16527,IMAGE_OFFSET,number01.png
